,id,name,type,requester,owners,description,is_completed,created_at,started_at,updated_at,moved_at,completed_at,estimate,is_blocked,is_a_blocker,labels,tasks,state,epic_id,epic,project_id,project,utc_offset,SAFe Team Label
10,121,Create file with information on lienholders for InsVista personal auto,feature,amy@britecore.com,,"Need to be able to send a file daily to InsVista to notify lien holders of policy changes.    InsVista has sent us the file layout which is in the issue.

InsVista will need to use system tags.  It is totally system tag driven.  There is a current vendor integration for InsVista, but it will likely need work to support auto.

See attached file for record layout.",,2018/01/09 15:15:17,,2019/02/21 16:26:08,2018/01/09 15:15:17,,,FALSE,FALSE,"Category_Vendor
Client_Augusta",,Unscheduled,105,InsVista,6260,Partner Integrations,-5:00:00,Platform
11,123,UI - Agents are read-only but Admin can edit fields,feature,amy@britecore.com,,"**Business Goals**

**There is a large feature that has to be implemented before this option can be used  (see blocked by below)**

Agents will see the results of the Auto Data Pre-Fill but only Admin/Underwriters will be able to change any of the values

Work Around - if we store the XML, we can look at that to compare and changes until this feature is available.

**User Story**
As a carrier, I want the Agents to see the results from AutoData Prefill, but they won't be able to edit the fields so they don't accidentally override a value.

As a carrier, I want the Admins to be able to see and edit the results from Auto Data Prefill so they update any information as needed.

**Success Conditions**
Logging in as an Agent, able to see the values from Auto Data Prefill but not able to make any changes.

Logging in as an Admin, able to see and edit the values from Auto Data Prefill and save any changes.",,2018/01/09 15:32:23,,2019/01/24 15:28:55,2018/01/09 15:32:23,,5,TRUE,FALSE,"Category_Vendor
BriteQuote
Client_Augusta",,Unscheduled,107,LexisNexis - Auto Data Pre-Fill,5724,BriteQuote,-5:00:00,Quotes
12,125,Save MVR report,feature,amy@britecore.com,ayush.kumar@britecore.com,Save MVR report from LexisNexis attached to the policy so the Underwriter can view it.,,2018/01/09 15:45:55,,2018/09/30 11:52:47,2018/01/09 15:45:55,,,FALSE,FALSE,"Category_Vendor
Client_Augusta",,Unscheduled,109,LexisNexis - MVR Integration,6260,Partner Integrations,-5:00:00,Platform
13,126,UI - Use the AMIC homeowners credit score,feature,amy@britecore.com,,"**Business Goals**
The Lexis Nexis National Credit File (NCF) provides online consumer credit reports to insurance carriers. The financial history of the applicant can be considered as part of assessing risk for quoting and underwriting purposes. NCF supports a common inquiry and results format for credit information obtained from the three major credit bureaus.

BriteCore has an integration for LexisNexis Credit already which is being used by Augusta on their live site.   The Credit Score can be found on the Named Insured contact page where it lists their score and the date the report was pulled.  This is stored in the Credit Reports table under `dateAdded` and `score`.  The `contactId` equals the `id` on the Contact table.

The Credit Score is only needed for the Primary Driver.  If it is available, Augusta would like to use the homeowners credit score, however, the credit score can only be used if it is less than 90 days old.

**User Story**
As an agent, I need to be able to use the Primary Driver's credit score if it is available already and less than 90 days old so I can use it to assign risk without reordering it.

**Success Conditions**
The credit score is used if it already exists for the Insured and it was pulled less than 90 days ago.",,2018/01/09 15:48:47,,2018/09/09 11:19:14,2018/01/09 15:48:47,,,FALSE,FALSE,"Category_Vendor
Client_Augusta",,Unscheduled,108,LexisNexis  - Auto Credit Scoring (NCF),6260,Partner Integrations,-5:00:00,Platform
14,128,Renewals - reorder if older than 3 years,feature,amy@britecore.com,,"**Business Goal**
Virginia requires update to the credit every three years.   For renewals, if credit is older than 3 years, need to reorder.  There is an exception to this rule.  If the policy is converted, it would update credit the first renewal.

**User Story**
As a carrier, if the Primary Driver credit score is more than 3 years old, at renewal, I want to reorder the credit score for the Primary Driver only so that we are following the requirements from VA.

**Success Conditions**
Find a policy that has a Primary Driver with a credit score date listed as more than 3 years prior to today's date.  Credit should be reordered at renewal of the auto policy for that Primary Driver.  It should not do it for any other drivers or if date is less than 3 years.",,2018/01/09 15:52:44,,2019/04/03 15:56:55,2018/01/09 15:52:44,,,FALSE,FALSE,"Category_Vendor
Client_Augusta",,Unscheduled,108,LexisNexis  - Auto Credit Scoring (NCF),6260,Partner Integrations,-5:00:00,Platform
16,136,Verify Billing works,feature,amy@britecore.com,,Billing for Augusta Auto will be out of BriteCore.,,2018/01/09 16:14:05,,2019/01/24 15:28:55,2018/01/09 16:14:05,,,FALSE,FALSE,"BriteLines Priority: Medium
BriteQuote
Client_Augusta",[ ] Payments applied to policies,Unscheduled,113,BriteLines: BriteCore Integration,5724,BriteQuote,-5:00:00,Quotes
17,273,Masked fields,feature,grant@britecore.com,,"Some widgets should have the option to be masked. For instance, a phone number could be masked so that it fits into the format ***-***_****.",,2018/01/17 11:58:01,,2019/01/24 15:28:55,2018/01/17 11:58:01,,,FALSE,FALSE,"BriteQuote
Client_Augusta",,Unscheduled,268,BriteQuote UI Layer,5724,BriteQuote,-5:00:00,Quotes
18,850,Servicing Clients through the Agent Agency Portal Website,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As an Agent, I want to use the insurance company's website for Agents so that I can provide claim service to my Customers by notifying the Insurer of loss, check the status of the claim and coverage, add information, notes, documents (e.g. form, damage estimate, images, or other attachments to support the claim file) to an existing claim and coverage of one of my Customers.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 3:51:30,,2018/05/02 6:01:46,2018/02/20 3:51:30,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims
BriteClaims_Claim_Intake
BriteClaims_FNOL_3.1",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
19,851,Connecting My Own Software to the Insurance Company's Software Platform,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As an Agent, I want to use my own software to connect with the Insurer's software platform so that I can provide claim service to my Customers by notifying the Insurer of loss, check the status of the claim and coverage, add information, notes, and documents (e.g. form, damage estimate, images, or other attachments to support the claim file) to an existing claim and coverage of one of my Customers using the software of our choice and not being required to use the Insurer's Agency Portal.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 3:55:24,,2018/05/02 6:03:35,2018/02/20 3:55:24,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims
BriteClaims_Claim_Intake
BriteClaims_FNOL_3.1",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
20,854,Using Email to Provide Service to Customers,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As an Adjuster, the Platform to send emails from claim notes and attach inbound emails from a dedicated claims email address at the Insurer to a claim note so that I can service and communicate the Customer using emails.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 4:01:54,,2018/05/15 5:24:12,2018/02/20 4:01:54,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Customer_Journey
BriteClaims
BriteClaims_Claim_Intake
BriteClaims_FNOL_3.1",,Unscheduled,3176,Dependent Feature - Forms & Correspondence,844,BriteClaims,-5:00:00,Claims
21,855,Dynamic Question and Answer Data Capture,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As an Insurance Company Representative, I want the Platform to provide me with a dynamic script based on the policy type, loss cause, loss detail, and previous answers so that the information (e.g. insured vehicle, unlisted vehicle, 3rd party vehicle), drivers, damages, injury information, location information, and scheduled item information)  is captured while is still fresh in the mind of the Reporter.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:38,,2018/05/02 6:11:51,2018/02/20 5:23:38,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims
BriteClaims_FNOL_3.12
BriteClaims_MVP",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
22,857,Capture Loss Information to Facilitate Coverage Match,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the Platform to prompt me to ask the Reporter the basic set of question about what, when, and where about the Loss so that the Platform can match that to a Policy Coverage at the end of lodgement/notification of the process.

Description
Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:38,,2018/05/08 8:04:12,2018/02/20 5:23:38,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims_FNOL_3.3
BriteClaims
BriteClaims_PAY_3.4
BriteClaims_FNOL_3.18",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
23,858,Check for Duplicate Claims During FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the platform to locate potential duplicate claims based on policy number and date of loss so that the Insurer avoids redundant data on the Platform and the Reporter does not need to answer the same questions twice.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:39,,2018/03/29 1:28:27,2018/02/20 5:23:39,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_FNOL_3.5
BriteClaims
BriteClaims_MVP",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
24,859,Offering the Insurance Company’s Preferred Providers for Services,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want to provide offer services to the Customer from a list of preferred providers for services, such as auto repairs car rentals, emergency home repairs or other services covered under the policy so that I ensure the Customer gets the help that they need have the least painful experience.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:39,,2018/05/02 6:18:52,2018/02/20 5:23:39,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Customer_Journey
BriteClaims_FNOL_3.7
BriteClaims",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
25,862,Capture 3rd Parties During FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the Platform to prompt me to collect information about 3rd parties involved with the loss  (e.g. name and contact method) so that the information is still fresh in the mind of the Reporter.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:39,,2018/05/02 6:19:30,2018/02/20 5:23:39,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims
BriteClaims_MVP
BriteClaims_FNOL_3.9",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
26,863,Capture the Role the 3rd Party Played during FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the Platform to prompt me to collect the role  each third party played in the Loss (e.g. auto collision capture 3rd party driver, 3rd party injury, witness, responding authority etc.) so that the information is still fresh in the mind of the Reporter.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:39,,2018/04/19 2:13:32,2018/02/20 5:23:39,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims
BriteClaims_NEG_3.2
BriteClaims_FNOL_3.9",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
27,864,Capture Injury Information during FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the Platform to prompt me to collect basic injury information  (e.g. name and contact method) about the insured and 3rd parties so that the information is still fresh in the mind of the Reporter.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:39,,2018/05/08 8:04:12,2018/02/20 5:23:39,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims_FNOL_3.10
BriteClaims",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
28,865,Capture Possible Fatalities FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the Platform to prompt me to collect information about critical injuries and possible fatalities so that the information is still fresh in the mind of the Reporter.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:40,,2018/04/19 2:10:49,2018/02/20 5:23:40,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims_FNOL_3.10
BriteClaims
BriteClaims_MVP",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
29,866,Capture Physical Damage information during FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the Platform to prompt me to collect information about physical damage (e.g. front door during theft) so that the information is still fresh in the mind of the Reporter.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:40,,2018/04/19 2:13:33,2018/02/20 5:23:40,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims
BriteClaims_FNOL_3.11",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
30,867,Capture Generic Auto Damage Data during FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the Platform to prompt me to collect basic information about vehicle damage (e.g. front and left side) for insured and 3rd party vehicle so that the information is still fresh in the mind of the Reporter.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:40,,2018/04/19 2:08:42,2018/02/20 5:23:40,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims
BriteClaims_MVP
BriteClaims_FNOL_3.11",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
31,868,Capture Weaknesses of a Claim and/or Coverage,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative or Adjuster, I want the Platform to prompt me to collect information about that can be used to support automated/manual denial the claim or support the Insurance company during ligation so that we the Insurance company avoid payment on unnecessary claims.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:40,,2018/05/08 8:04:12,2018/02/20 5:23:40,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Negotiation_and_Litigation
BriteClaims
BriteClaims_FNOL_3.12",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
32,869,Unknown 3rd Parties,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the Platform to prompt me to collect information about John Doe, Jane Doe, and Baby Doe and the role the played in the loss (e.g. occupant of vehicle, witness ) to help the Adjuster investigate the claim.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:40,,2018/04/19 2:09:57,2018/02/20 5:23:40,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims
BriteClaims_MVP
BriteClaims_FNOL_3.9",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
33,870,Single Source of Truth for Contacts,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurer I want the Platform to match contact information against the CRM Platform so that there is a single source of truth for all claim contacts.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:40,,2018/04/19 2:05:58,2018/02/20 5:23:40,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_Augusta
BriteClaims
BriteClaims_FNOL_3.13",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
34,871,Automate grouping claims by Loss Event,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want the Platform to prompt me to associate the claim during lodgement/intake with a larger loss event so that claims falling under the same loss event can be processed together resulting in faster settlement for our customers.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:40,,2018/03/29 1:19:44,2018/02/20 5:23:40,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_CAT/Event_Management
BriteClaims
BriteClaims_FNOL_3.4",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
35,872,Custom Workflows based on Claim Loss Facts,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurer, I want the Platform to associate custom workflows based on the complexity of the and jurisdiction of the claims to facilitate assignment to the right Adjuster so that we minimize the time between lodgement/intake and settlement for our customers.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:41,,2018/05/08 8:04:12,2018/02/20 5:23:41,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_FNOL_3.14
BriteClaims
BriteClaims_FNOL_3.12
BriteClaims_Tasks
BriteClaims_SUB_3.2",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
36,873,Complete FNOL w/Basic Information in FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurance Company Representative, I want to be able to open a pending/incomplete First Notice of Loss entry and complete any basic missing information so that the Platform can automated opening a claim and establishing initial reserves.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:41,,2018/03/29 5:57:59,2018/02/20 5:23:41,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_RES_3.1
BriteClaims
BriteClaims_Financials",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
37,874,Start the Customer Journey During FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurer, I want the Platform to allow the customer to follow the claim process via their preferred channel  (e.g. SMS, self service portal, mobile application) so that we ensure that our customers are informed there by endearing customer loyalty.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:41,,2018/03/29 1:20:08,2018/02/20 5:23:41,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_FNOL_3.17
BriteClaims",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
38,875,Ensure Basic Loss Information is Captured During FNOL,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurer, I want the Platform to prompt the user to capture the basic set of data so that the claim can be matched to a policy coverage without Adjuster intervention.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:41,,2018/03/29 1:20:16,2018/02/20 5:23:41,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_FNOL_3.16
BriteClaims
BriteClaims_MVP
BriteClaims_FNOL_3.22",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
39,876,Notify Loss is Received,feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurer, I want the Platform to create workflows or automatically send correspondence to the Insured and Reporter so that primary parties are notified that the loss has been received and registered.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:41,,2018/04/19 1:59:42,2018/02/20 5:23:41,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_FNOL_3.25
BriteClaims_Customer_Journey
BriteClaims_FNOL_3.24
BriteClaims_Augusta
BriteClaims
BriteClaims_MVP
BriteClaims_FNOL_3.22",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
40,879,"Notify Counterparty Insurance, Reinsurer, or Coinsurer that a Claim has been received.",feature,alex.nesterov@britecore.com,alex.nesterov@britecore.com,"User Story
========
As the Insurer, I want the Platform to create workflows or automatically send correspondence to all other insurance companies  involved so that the they  are notified that a loss has been received and registered where they may have exposure.

Description
=========
 Notes
 --------

  * Useful external references
   * [Google It!](http://www.google.com ""Google Home"")",,2018/02/20 5:23:42,,2018/03/29 1:20:31,2018/02/20 5:23:42,,,FALSE,FALSE,"BriteClaims_FNOL
BriteClaims_FNOL_3.25
BriteClaims",,Unscheduled,845,BriteClaims - First Notice of Loss (FNOL)- OLD,844,BriteClaims,-5:00:00,Claims
